"","1-HR PHOTO","ACCESSORIES","AUTOMOTIVE","BAKERY","BATH AND SHOWER","BEAUTY","BEDDING","BOOKS AND MAGAZINES","BOYS WEAR","BRAS & SHAPEWEAR","CAMERAS AND SUPPLIES","CANDY, TOBACCO, COOKIES","CELEBRATION","COMM BREAD","CONCEPT STORES","COOK AND DINE","DAIRY","DSD GROCERY","ELECTRONICS","FABRICS AND CRAFTS","FINANCIAL SERVICES","FROZEN FOODS","FURNITURE","GIRLS WEAR, 4-6X  AND 7-14","GROCERY DRY GOODS","HARDWARE","HEALTH AND BEAUTY AIDS","HOME DECOR","HOME MANAGEMENT","HORTICULTURE AND ACCESS","HOUSEHOLD CHEMICALS/SUPP","HOUSEHOLD PAPER GOODS","IMPULSE MERCHANDISE","INFANT APPAREL","INFANT CONSUMABLE HARDLINES","JEWELRY AND SUNGLASSES","LADIES SOCKS","LADIESWEAR","LARGE HOUSEHOLD GOODS","LAWN AND GARDEN","LIQUOR,WINE,BEER","MEAT - FRESH & FROZEN","MEDIA AND GAMING","MENS WEAR","MENSWEAR","NULL","OFFICE SUPPLIES","OPTICAL - FRAMES","OPTICAL - LENSES","OTHER DEPARTMENTS","PAINT AND ACCESSORIES","PERSONAL CARE","PETS AND SUPPLIES","PHARMACY OTC","PHARMACY RX","PLAYERS AND ELECTRONICS","PLUS AND MATERNITY","PRE PACKED DELI","PRODUCE","SEAFOOD","SEASONAL","SERVICE DELI","SHEER HOSIERY","SHOES","SLEEPWEAR/FOUNDATIONS","SPORTING GOODS","SWIMWEAR/OUTERWEAR","TOYS","WIRELESS"
"CAMERAS AND SUPPLIES",1,2,4,0,6,8,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CANDY, TOBACCO, COOKIES",1,72,185,615,172,793,94,87,118,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CELEBRATION",8,62,95,291,127,570,46,106,135,65,7,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COMM BREAD",3,77,288,1405,260,1157,143,101,167,119,6,1197,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONCEPT STORES",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COOK AND DINE",0,68,149,331,426,696,189,59,92,94,5,376,304,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAIRY",2,138,488,2527,494,1952,253,162,262,201,13,1947,709,6065,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSD GROCERY",5,278,908,3105,817,3123,456,294,596,347,21,3435,1321,6688,1,1687,11154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELECTRONICS",2,16,63,89,75,185,44,23,31,29,12,128,69,148,1,115,286,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FABRICS AND CRAFTS",4,40,66,142,102,301,59,54,73,47,6,202,389,241,0,210,435,729,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FINANCIAL SERVICES",19,46,187,290,117,417,77,50,83,67,9,310,212,554,2,261,896,1415,203,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FROZEN FOODS",1,84,240,1337,266,1109,138,121,128,107,4,1270,420,3286,0,675,5797,6426,149,214,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FURNITURE",0,1,14,17,31,38,29,2,4,3,1,20,21,18,0,59,47,90,22,19,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GIRLS WEAR, 4-6X  AND 7-14",1,73,36,137,110,315,35,28,249,103,2,156,140,237,0,113,417,708,30,94,106,197,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GROCERY DRY GOODS",3,180,573,2720,603,2541,294,240,353,263,7,2463,977,6902,0,1596,11117,12992,345,563,1046,5942,55,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HARDWARE",1,34,312,176,207,395,123,35,52,33,6,222,130,334,0,362,591,1055,135,115,174,321,61,49,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEALTH AND BEAUTY AIDS",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOME DECOR",15,38,76,169,297,382,182,43,60,56,5,203,218,309,1,363,523,874,101,179,134,320,62,53,677,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOME MANAGEMENT",2,62,170,238,406,618,223,48,80,85,4,313,236,478,0,788,856,1397,123,189,256,468,83,95,1109,444,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HORTICULTURE AND ACCESS",0,12,36,99,35,168,14,34,22,18,3,101,103,151,0,106,251,400,18,47,68,151,1,26,349,89,1,70,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOUSEHOLD CHEMICALS/SUPP",2,110,492,1143,599,1831,292,142,239,184,11,1302,515,2761,0,1090,4622,6348,226,357,663,2589,62,326,5525,719,0,608,1005,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOUSEHOLD PAPER GOODS",3,92,319,1084,441,1492,207,120,172,142,6,1445,524,2621,0,909,4320,5954,190,292,574,2440,40,282,5232,501,0,431,768,156,4259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMPULSE MERCHANDISE",7,236,612,1340,697,2444,372,241,569,313,21,1729,1067,2645,0,1208,4367,8021,432,625,1562,2471,69,650,5296,759,1,672,1069,243,3145,2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INFANT APPAREL",0,63,67,154,117,366,44,22,202,72,1,173,241,298,0,156,525,846,34,79,136,249,10,264,565,80,0,108,128,21,432,319,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INFANT CONSUMABLE HARDLINES",1,56,142,372,139,612,90,37,151,80,3,319,235,804,0,289,1495,2135,69,135,251,728,15,204,1547,164,0,154,246,39,1105,861,1421,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEWELRY AND SUNGLASSES",2,96,48,74,61,252,23,18,53,84,0,123,133,125,0,94,208,405,23,65,80,120,6,88,273,52,0,47,87,21,168,142,380,94,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LADIES SOCKS",1,25,12,32,36,142,21,13,29,70,2,62,39,65,0,64,108,196,20,22,27,75,0,51,156,26,0,24,61,14,114,79,154,51,53,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LADIESWEAR",2,206,73,221,154,658,84,57,218,369,4,278,234,418,0,243,710,1256,66,154,183,394,6,328,913,134,0,142,220,76,587,453,1042,253,258,217,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARGE HOUSEHOLD GOODS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAWN AND GARDEN",1,25,165,183,95,397,36,45,57,27,4,224,179,420,0,316,673,1081,53,88,168,379,10,46,939,304,0,146,226,521,584,497,659,71,133,49,21,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LIQUOR,WINE,BEER",1,29,73,276,90,344,48,35,24,30,3,390,159,579,0,220,1047,1454,48,74,119,756,17,36,1204,118,0,134,144,59,658,627,661,47,115,36,20,127,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEAT - FRESH & FROZEN",0,38,122,1007,140,589,74,60,69,71,0,603,206,2467,0,468,3606,3761,93,121,305,2189,11,79,4253,198,0,178,266,81,1576,1596,1392,122,375,62,30,212,0,306,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MEDIA AND GAMING",0,16,36,68,43,138,22,16,47,26,0,98,61,139,0,66,227,429,84,34,89,117,9,39,276,50,0,38,62,11,198,152,349,62,104,24,6,57,0,28,38,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MENS WEAR",1,156,190,290,294,614,135,66,381,143,10,364,230,470,0,309,855,1774,182,151,362,417,18,207,1059,219,0,172,304,58,743,552,1321,230,249,195,93,425,0,181,151,218,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MENSWEAR",0,12,3,10,9,33,5,3,12,8,0,22,16,17,0,10,30,69,6,2,13,19,0,22,39,5,0,6,12,3,27,17,60,14,13,11,5,44,0,6,6,8,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NULL",2,27,31,106,71,154,30,18,54,51,1,84,67,181,0,109,308,421,22,42,65,162,7,62,347,53,0,57,106,40,204,172,304,80,92,39,17,126,0,47,47,105,17,126,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OFFICE SUPPLIES",6,57,110,199,162,508,91,94,107,63,8,322,443,391,0,295,660,1204,145,516,190,399,18,131,883,226,0,212,334,57,562,507,1027,122,225,77,62,199,0,135,97,179,57,281,13,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL - FRAMES",0,4,4,9,5,41,3,2,3,6,0,19,5,24,0,14,41,53,5,5,9,30,2,6,50,12,0,6,12,4,19,24,33,4,6,6,2,19,0,16,8,14,2,11,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTICAL - LENSES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTHER DEPARTMENTS",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,1,4,0,0,4,1,0,0,1,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAINT AND ACCESSORIES",1,9,114,61,53,136,29,15,18,13,1,65,42,108,0,83,189,313,28,99,50,95,7,11,235,228,0,69,113,45,190,139,224,18,42,13,16,34,0,121,33,51,15,65,1,19,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PERSONAL CARE",9,238,728,1259,850,4039,395,199,461,346,14,1624,836,2825,0,1432,4701,7313,351,464,952,2643,71,542,5791,913,0,676,1228,338,4377,3579,4812,627,1335,364,191,951,0,842,665,1453,285,1558,52,297,910,82,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PETS AND SUPPLIES",0,34,204,295,127,562,70,59,56,45,2,354,184,624,0,317,1072,1518,73,112,213,629,20,64,1280,293,0,173,281,173,844,692,886,77,173,61,36,191,0,411,209,384,69,214,10,64,170,16,0,0,93,1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHARMACY OTC",7,151,492,967,463,2636,236,159,290,240,10,1287,606,2039,0,947,3419,5375,274,365,690,1932,37,328,4327,632,1,435,827,286,2801,2412,3537,384,893,245,152,657,0,725,516,1045,221,1013,28,189,664,62,0,1,184,6222,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHARMACY RX",0,4,8,8,5,37,0,4,3,2,1,5,11,9,0,9,19,35,2,4,1,10,0,1,29,3,0,4,7,3,5,17,19,2,4,3,3,5,0,8,2,1,1,14,0,2,3,0,0,0,0,88,12,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLAYERS AND ELECTRONICS",1,2,27,15,11,35,6,8,10,7,0,22,22,37,1,20,56,118,26,7,32,27,1,6,76,19,0,24,16,4,52,46,90,17,29,14,4,12,0,11,14,22,62,50,0,2,16,1,0,0,2,91,9,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLUS AND MATERNITY",0,24,5,18,14,49,7,8,13,28,0,26,23,34,0,17,53,101,6,11,14,37,0,10,71,12,0,15,24,15,47,31,82,8,10,21,15,122,0,12,11,19,4,40,2,6,13,4,0,1,3,88,16,68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRE PACKED DELI",0,38,175,1083,192,729,94,74,99,66,0,817,244,3228,0,484,4449,4428,95,135,375,2436,16,141,4450,185,0,207,314,75,1891,1903,1667,160,445,60,38,261,0,304,486,2011,88,281,12,129,223,11,0,0,57,1752,457,1262,3,26,28,0,0,0,0,0,0,0,0,0,0,0,0
"PRODUCE",1,145,486,2730,467,2042,292,206,303,239,12,1947,861,5477,0,1291,8975,10371,258,482,949,4806,44,382,10152,634,0,560,937,369,4306,3969,4537,472,1228,235,121,771,0,830,1046,3890,204,910,30,350,720,48,0,2,206,4675,1073,3623,8,59,52,3621,0,0,0,0,0,0,0,0,0,0,0
"SEAFOOD",0,20,50,264,47,180,15,18,27,13,0,180,59,619,0,132,990,1048,27,27,78,670,3,32,1142,53,0,57,76,19,473,444,402,51,120,17,12,71,0,65,137,697,24,74,4,39,49,2,0,0,16,442,77,317,1,4,4,547,1046,0,0,0,0,0,0,0,0,0,0
"SEASONAL",0,1,1,2,2,8,1,1,4,0,0,1,7,2,0,2,6,10,1,2,3,3,0,4,4,1,0,0,1,0,3,4,11,1,4,1,0,1,0,1,2,2,3,1,0,0,2,0,0,0,0,8,2,8,0,1,0,2,4,2,0,0,0,0,0,0,0,0,0
"SERVICE DELI",0,60,152,1249,155,535,74,62,99,82,2,607,239,1472,0,341,2145,3565,94,130,271,1348,12,125,2579,206,0,166,245,106,1059,1021,1402,117,323,89,33,265,0,209,385,900,77,336,10,97,212,9,0,1,61,1252,326,1044,9,19,30,998,2540,259,3,0,0,0,0,0,0,0,0
"SHEER HOSIERY",0,13,7,22,14,62,7,4,16,40,0,19,28,34,0,21,62,97,6,13,18,31,0,14,98,11,0,10,20,2,53,49,80,17,21,15,33,59,0,11,10,21,1,31,0,10,20,0,0,0,1,86,14,67,1,1,3,17,71,7,0,23,0,0,0,0,0,0,0
"SHOES",6,119,142,214,226,551,105,39,311,132,8,292,164,407,0,259,682,1380,122,130,216,373,17,339,870,164,0,155,245,52,616,462,1227,414,451,179,114,478,0,129,107,179,99,742,34,105,208,7,0,1,51,1135,155,749,7,30,28,241,718,59,4,243,35,0,0,0,0,0,0
"SLEEPWEAR/FOUNDATIONS",3,77,32,92,73,307,38,27,92,296,5,134,97,138,0,130,288,486,34,64,77,160,7,135,367,49,0,63,112,23,249,196,424,108,115,77,99,363,0,50,56,99,31,197,7,57,99,4,0,0,12,436,70,328,6,6,48,99,292,33,0,96,45,173,0,0,0,0,0
"SPORTING GOODS",1,38,211,140,137,388,106,24,86,35,5,193,125,279,0,224,432,946,79,84,177,276,28,88,583,194,0,111,201,36,366,357,725,78,131,60,26,119,0,188,133,123,35,263,12,46,145,8,0,0,56,643,144,487,4,15,6,183,483,32,2,152,8,221,44,0,0,0,0
"SWIMWEAR/OUTERWEAR",0,31,9,22,49,107,9,7,34,23,1,23,23,50,0,28,60,145,6,6,15,39,2,52,89,12,0,16,26,4,57,44,146,35,34,32,10,133,0,18,18,30,4,44,5,13,15,3,0,0,4,129,24,89,0,1,5,34,75,4,0,22,2,75,30,27,0,0,0
"TOYS",2,50,166,251,150,523,68,68,181,60,6,260,409,403,0,241,659,1215,79,166,218,355,17,207,803,172,0,142,207,62,522,423,1167,297,406,91,34,217,0,202,103,171,105,254,12,68,274,5,0,0,48,862,203,563,1,26,15,240,700,40,11,192,13,305,85,318,47,0,0
"WIRELESS",1,11,23,28,18,81,16,8,7,9,7,50,27,53,0,36,79,167,89,12,55,54,5,9,116,28,0,21,33,2,70,55,171,14,26,17,6,29,0,21,21,31,22,59,3,10,36,2,0,0,10,136,28,119,3,11,0,32,93,9,1,37,5,38,11,21,1,26,0
